time,open,high,low,close
1764543600,26240.25,26303.75,26215.25,26271.75
1764543660,26270.5,26276.5,26252.5,26255.5
1764543720,26254.5,26267.25,26245.75,26251
1764543780,26251.75,26252.75,26229,26234.25
1764543840,26233.25,26252.5,26229,26232.75
1764543900,26231.75,26241,26227.5,26237.75
1764543960,26237.25,26247.5,26235.75,26245.75
1764544020,26245.75,26255.75,26243.75,26249.75
1764544080,26248.75,26257.25,26248.5,26255
1764544140,26254.5,26257.75,26252,26256
1764544200,26256.25,26256.25,26249.5,26252.75
1764544260,26252.25,26253,26247,26247.75
1764544320,26246.75,26257.75,26244.25,26252.25
1764544380,26252.25,26254.75,26248,26254.5
1764544440,26254.25,26259.75,26253.25,26259.5
1764544500,26260,26264.25,26254,26254.75
1764544560,26253.25,26261,26250.75,26258.25
1764544620,26259.25,26260.25,26254.5,26260.25
1764544680,26259.5,26268,26259,26264.25
1764544740,26266.5,26272.75,26264.5,26269.75
1764544800,26270.5,26274,26268,26271.75
1764544860,26271.75,26274.25,26271.75,26273
1764544920,26272.75,26273.25,26267.75,26269.75
1764544980,26269.5,26269.5,26264.25,26266.25
1764545040,26267.75,26273.25,26265.5,26273.25
1764545100,26273.5,26282,26271.25,26273.25
1764545160,26274.25,26277.5,26264.5,26264.5
1764545220,26263.5,26267.75,26262,26262
1764545280,26263,26264.25,26256.5,26257.5
1764545340,26258.75,26258.75,26253.25,26256.25
1764545400,26256,26258.25,26238.25,26240.75
1764545460,26238,26238.75,26224.75,26233
1764545520,26234.75,26239.25,26228.5,26231
1764545580,26231,26240.75,26231,26233.75
1764545640,26232.75,26232.75,26218.75,26219.5
1764545700,26220,26229,26215.5,26225.25
1764545760,26225.75,26236.25,26223.5,26231.25
1764545820,26228.25,26230,26225.25,26229.75
1764545880,26230.5,26230.5,26225.25,26230.5
1764545940,26230.5,26232.25,26218.75,26220.25
1764546000,26221.25,26222.5,26205.5,26210.5
1764546060,26211.75,26222.75,26211.25,26220.25
1764546120,26219.75,26220.25,26213.5,26215.5
1764546180,26217,26217,26206.75,26206.75
1764546240,26207.75,26209.25,26201,26203
1764546300,26201.25,26217.5,26200.5,26216.25
1764546360,26214.5,26214.5,26204.75,26213
1764546420,26212.25,26215.75,26205.75,26213.5
1764546480,26212.5,26217.5,26212.5,26215.25
1764546540,26214.75,26216.5,26212,26216
1764546600,26215,26225,26214,26222.25
1764546660,26221,26228.25,26219.75,26224.75
1764546720,26224.5,26228.75,26223.75,26225
1764546780,26225,26225,26217.5,26217.5
1764546840,26216.75,26227,26213,26225.5
1764546900,26225.25,26235.75,26225.25,26231.75
1764546960,26231,26235.25,26222.75,26227.75
1764547020,26227.5,26228,26220.25,26224.25
1764547080,26223,26223.75,26217,26222.25
1764547140,26221.75,26227.75,26220.5,26224
1764547200,26225.25,26228.75,26217.75,26223.5
1764547260,26223.5,26226.25,26220,26220
1764547320,26219,26219.75,26205.25,26207
1764547380,26207.25,26215,26204,26204.25
1764547440,26204.25,26208.5,26193.25,26202.75
1764547500,26204.25,26207.75,26192.5,26194.5
1764547560,26194.75,26194.75,26185.75,26189
1764547620,26190,26193.75,26177.75,26179.5
1764547680,26178.75,26179.25,26167.25,26176.25
1764547740,26176,26183.5,26169,26176
1764547800,26174.75,26175.75,26168,26171.5
1764547860,26172.75,26174.75,26159.5,26166.25
1764547920,26166.25,26167.25,26161.75,26163.75
1764547980,26163.75,26164,26159.75,26161.25
1764548040,26163.75,26175.5,26161.75,26172.75
1764548100,26172.25,26183.25,26170.5,26178.25
1764548160,26177.25,26181.5,26174,26179
1764548220,26179.25,26183.25,26176,26177.25
1764548280,26177.75,26180,26170.25,26170.25
1764548340,26171.25,26171.25,26160.75,26163.75
1764548400,26163.75,26167.5,26154.25,26154.25
1764548460,26154.75,26156,26139,26147
1764548520,26148.25,26153,26136.75,26140
1764548580,26140.5,26146,26132.75,26144
1764548640,26142.75,26149,26138.25,26142.25
1764548700,26140,26140.5,26114.75,26126.75
1764548760,26127.25,26142,26127.25,26138
1764548820,26135.5,26141,26127.25,26139.25
1764548880,26139.25,26146.75,26138.5,26140.75
1764548940,26141.75,26150,26140.25,26148.75
1764549000,26147.5,26153.75,26142.5,26149
1764549060,26145.75,26149,26138.25,26143.5
1764549120,26143.75,26146.75,26137.75,26140.25
1764549180,26140.75,26141,26133.75,26141
1764549240,26140,26142.5,26136.75,26140
1764549300,26141,26144,26136,26144
1764549360,26141.75,26145.5,26133.5,26134.5
1764549420,26134.5,26141,26130.5,26133
1764549480,26133.75,26135.75,26119.25,26125
1764549540,26125.75,26132.5,26119.5,26130.5
1764549600,26130,26133.25,26122.5,26122.75
1764549660,26124,26126,26118.25,26124.75
1764549720,26124.75,26130.25,26111.25,26113.25
1764549780,26115.5,26115.75,26103.5,26110
1764549840,26110,26111,26093.75,26104
1764549900,26104.25,26104.75,26082.75,26087.25
1764549960,26086.5,26090.5,26080.25,26089.75
1764550020,26088.75,26089,26078.25,26086
