time,open,high,low,close
1776031200,25272.75,25283,25197.25,25259.5
1776031260,25266,25300.75,25252.75,25283.25
1776031320,25283.25,25285,25258.5,25268.75
1776031380,25270.25,25282.25,25244.25,25244.5
1776031440,25244.25,25261.75,25241.5,25253.5
1776031500,25254,25275.25,25248.75,25266.75
1776031560,25268,25275,25263.25,25265.5
1776031620,25265,25269.25,25257.75,25260.25
1776031680,25261,25275.75,25259.75,25271
1776031740,25271.25,25292.5,25271.25,25284.75
1776031800,25284.75,25298.75,25279.75,25296.5
1776031860,25297.5,25298.75,25282.75,25286.25
1776031920,25287.25,25312,25287.25,25303.5
1776031980,25304,25305.25,25288.25,25288.75
1776032040,25290.75,25297.25,25283.5,25293.5
1776032100,25294.25,25294.25,25281.5,25285.75
1776032160,25286.25,25288.25,25278.75,25280.5
1776032220,25280.25,25286.75,25274.75,25283.5
1776032280,25282.5,25285,25272,25274.5
1776032340,25274.25,25280,25253.25,25256.5
1776032400,25256.25,25271.25,25254.25,25266.25
1776032460,25265.75,25266.5,25259.25,25262.75
1776032520,25262.25,25267.25,25257.75,25265.25
1776032580,25264.25,25272,25263.5,25269.5
1776032640,25270,25274.5,25266.25,25266.5
1776032700,25266.5,25269.25,25254,25255.25
1776032760,25255.25,25257.25,25250,25252.75
1776032820,25253.5,25258.75,25247.5,25247.5
1776032880,25247,25258.75,25246.75,25255.5
1776032940,25254.5,25255.25,25235.25,25246.75
1776033000,25247.5,25248.5,25221,25236.25
1776033060,25235.25,25240.75,25229,25233
1776033120,25232.25,25234,25224,25227.75
1776033180,25227.75,25242.75,25222,25234.25
1776033240,25235.25,25247.75,25232.5,25247
1776033300,25247.25,25253.75,25242.25,25251.75
1776033360,25251.5,25257.25,25248.25,25254.25
1776033420,25254,25258.25,25247,25250.5
1776033480,25251.25,25255.5,25251.25,25253.5
1776033540,25253.5,25254.75,25248.25,25249
1776033600,25247,25249.5,25239.25,25244.5
1776033660,25245,25245.5,25229.5,25238
1776033720,25237.5,25242.25,25233.5,25234.5
1776033780,25236,25242.5,25234.25,25237.25
1776033840,25236.75,25236.75,25227.25,25234.5
1776033900,25236.25,25239.75,25233.5,25236.5
1776033960,25236.75,25242,25233.25,25240.25
1776034020,25240.5,25243.25,25237.75,25238.5
1776034080,25237.75,25237.75,25232.25,25234.75
1776034140,25233.75,25237.5,25231.75,25234
1776034200,25234.75,25237,25232.25,25233.75
1776034260,25233.5,25246,25232.5,25241.5
1776034320,25240,25246,25237.25,25243.5
1776034380,25243,25251.25,25240.25,25242
1776034440,25242.5,25244,25238,25244
1776034500,25244.25,25244.75,25240.5,25241.75
1776034560,25241,25243.75,25239,25240.5
1776034620,25241.25,25242.75,25236.75,25238.75
1776034680,25239.5,25254,25238.5,25252.5
1776034740,25250.25,25253.5,25246,25249
1776034800,25250,25251,25240.75,25241.75
