time,open,high,low,close
1768777200,25979.25,25980.25,25904.25,25961.25
1768777260,25962,25963.75,25934,25937.5
1768777320,25939.5,25946.5,25925.75,25935.5
1768777380,25932.25,25948.5,25929,25942.75
1768777440,25946.25,25948.5,25933,25939
1768777500,25941.25,25973.25,25935.25,25963
1768777560,25963.5,25966.5,25948.25,25950
1768777620,25953,25969.5,25951,25961.25
1768777680,25960,25968.75,25951.5,25953.25
1768777740,25952.25,25957.75,25942.75,25954.75
1768777800,25953,25956,25931.75,25955
1768777860,25953,25963.5,25942,25957.25
1768777920,25955.75,25958.25,25942.75,25950.5
1768777980,25951.25,25957.5,25945.75,25956.25
1768778040,25957.25,25958.25,25944.5,25948.25
1768778100,25949,25949,25921.75,25927
1768778160,25928.5,25930,25916.25,25928
1768778220,25928.5,25929.25,25915.25,25922.25
1768778280,25922,25928.25,25912.5,25927.75
1768778340,25928.5,25944.5,25928.5,25939.25
1768778400,25940,25949.75,25935.25,25942
1768778460,25939.75,25945,25935.5,25940.75
1768778520,25940.5,25940.75,25916.25,25920.25
1768778580,25921.25,25944.5,25918.25,25942.5
1768778640,25942.25,25946,25935.25,25937.25
1768778700,25939.5,25946.25,25932,25936.25
1768778760,25937,25940.75,25928.25,25940
1768778820,25939.5,25951.75,25937.25,25946.75
1768778880,25949,25950.75,25943.75,25943.75
1768778940,25943.25,25958.25,25941.75,25948.75
1768779000,25948.25,25956,25946.25,25953.75
1768779060,25955.5,25961.25,25952.75,25960
1768779120,25958.5,25962.25,25948,25960
1768779180,25960.5,25963.25,25951.5,25955
1768779240,25953,25956.75,25948.25,25952.25
1768779300,25954.25,25954.5,25938.25,25948.75
1768779360,25948.25,25958.25,25945.25,25955.5
1768779420,25956.5,25962,25955,25956.25
1768779480,25957,25957,25947.5,25948
1768779540,25948.25,25953.75,25948.25,25951.75
1768779600,25953.5,25954,25947.25,25949.25
1768779660,25949.75,25957,25949.75,25952
1768779720,25951.75,25954,25938.25,25941.75
1768779780,25943.5,25952.75,25942.5,25950.75
1768779840,25952,25956.5,25949,25949
1768779900,25950.25,25950.25,25933.25,25946
1768779960,25945.75,25946.5,25934.25,25941.25
1768780020,25940.25,25945.75,25939,25944.5
1768780080,25945,25945.25,25937,25939.25
1768780140,25940,25941,25934.75,25938.25
1768780200,25935,25943.25,25934.25,25938.25
1768780260,25936.25,25944.5,25930,25942.5
1768780320,25945.25,25945.75,25938.25,25943.75
1768780380,25942.75,25947,25940.75,25946
1768780440,25945.75,25960.75,25944.5,25956
1768780500,25955.25,25963.25,25955.25,25958.25
1768780560,25958.25,25963.25,25955.25,25955.25
1768780620,25957.25,25966.25,25956.75,25965.25
1768780680,25964.75,25974.25,25963,25967.75
1768780740,25968.25,25977,25966.5,25975
1768780800,25974.5,25978.25,25968.25,25971.25
1768780860,25969.5,25969.75,25961.5,25962.25
1768780920,25961.75,25962,25951.75,25953.75
1768780980,25953,25959.25,25952,25952
1768781040,25951.5,25958.25,25948.25,25955
1768781100,25955,25960.25,25948.25,25949.75
1768781160,25949,25954,25946.25,25953.25
1768781220,25951.25,25953.5,25939.25,25942.75
1768781280,25940.5,25955.25,25940.25,25955.25
1768781340,25954.5,25955.25,25947.25,25954.5
1768781400,25954.5,25956.75,25941.75,25945
1768781460,25944,25949.25,25943,25949
