time,open,high,low,close
1766358000,26143.5,26176.25,26143.5,26165.5
1766358060,26167.25,26176,26164.25,26166
1766358120,26165.25,26166.5,26152.25,26155.75
1766358180,26155.25,26161.75,26146.5,26151
1766358240,26150.25,26166.75,26148.25,26160.5
1766358300,26160.75,26164.75,26157.25,26158.5
1766358360,26157.75,26162.75,26156.5,26162.25
1766358420,26161,26163,26156.25,26159
1766358480,26158.5,26160.25,26155.5,26158.75
1766358540,26157,26158.25,26151.5,26152
1766358600,26151.75,26154,26148.25,26150.25
1766358660,26149.25,26150.75,26144.25,26148.5
1766358720,26148.5,26150,26146.5,26146.5
1766358780,26146.25,26153,26146,26147.75
1766358840,26146.75,26147.75,26145,26147
1766358900,26146.25,26157,26140.5,26157
1766358960,26155.75,26159.25,26153.25,26154.25
1766359020,26153,26155.75,26151.75,26152.25
1766359080,26152,26153.25,26149,26149.75
1766359140,26148.5,26154.25,26148.25,26152.25
1766359200,26152.5,26154.25,26145.25,26145.75
1766359260,26146.25,26151.5,26145,26148
1766359320,26148.25,26151.25,26146.75,26148.25
1766359380,26147.25,26149.25,26144.25,26147
1766359440,26148.75,26151.75,26146.25,26150
1766359500,26150.25,26152.25,26147.25,26150.25
1766359560,26150.25,26151.25,26147.75,26151.25
1766359620,26149.5,26153.75,26149,26152.5
1766359680,26152.5,26156.75,26151.75,26155.5
1766359740,26156.25,26158.25,26153,26156
1766359800,26155.25,26157.5,26155.25,26157.5
1766359860,26157.25,26161.75,26157.25,26158.25
1766359920,26157.5,26158.5,26154.25,26154.25
1766359980,26155.25,26158.75,26153.25,26157.25
1766360040,26158,26158,26156.5,26157.25
1766360100,26156.25,26156.75,26155.25,26155.5
1766360160,26156.25,26160.25,26155.75,26159.5
1766360220,26160.25,26161.75,26158.25,26158.75
1766360280,26159.25,26164,26159.25,26164
1766360340,26163,26173,26162,26171
1766360400,26171.75,26179.5,26169.25,26176.75
1766360460,26176.75,26178.25,26172.25,26174.25
1766360520,26173.25,26174.75,26171,26172.5
1766360580,26172,26176.5,26170.5,26172
1766360640,26172.5,26173.25,26170.75,26172.75
1766360700,26172.25,26179.25,26171.25,26178
1766360760,26177.75,26183.25,26176.5,26176.5
1766360820,26176.75,26178,26173,26174.75
1766360880,26174.5,26177.5,26172.5,26174
1766360940,26173.5,26176.5,26173.25,26175.25
1766361000,26175.75,26182.25,26175.75,26178.5
1766361060,26179.25,26179.5,26174.25,26174.25
1766361120,26174.25,26175.5,26172.5,26174.75
1766361180,26174.5,26178,26173.5,26176.5
1766361240,26176,26177.25,26173.75,26174.25
1766361300,26173.25,26175.5,26171,26172.25
1766361360,26171,26172.75,26168.25,26172
1766361420,26172.5,26176,26169.75,26175.75
1766361480,26174.5,26176.25,26173.25,26176.25
1766361540,26175.5,26181.25,26175.25,26176.75
1766361600,26177.75,26189.75,26176.75,26189.25
1766361660,26188.5,26191,26173.5,26175
1766361720,26175,26180.75,26171.25,26177.25
1766361780,26176.5,26176.75,26172.5,26174.25
1766361840,26175,26175,26171.5,26172
1766361900,26171.25,26172.75,26164,26169.75
1766361960,26169.75,26170.75,26163,26169
1766362020,26167.5,26168.25,26164.75,26167
1766362080,26168.25,26169.75,26163.25,26165.5
1766362140,26163.75,26173.25,26162.75,26172.5
1766362200,26172.5,26172.5,26165,26168
1766362260,26167.5,26170,26166.5,26169
1766362320,26170,26170.75,26165.5,26166.5
1766362380,26166.75,26167,26162,26166
1766362440,26166.75,26167.5,26164.75,26166
1766362500,26166.75,26168.75,26165.75,26167.25
1766362560,26166.25,26172,26165.75,26169.5
1766362620,26170.25,26170.25,26164.5,26165.75
1766362680,26165,26166.25,26160,26160
1766362740,26159.75,26160.25,26156.25,26159.25
1766362800,26158.5,26160.5,26156.25,26157.5
1766362860,26157.5,26160,26155.25,26160
1766362920,26159.25,26161.75,26156.5,26161.75
1766362980,26161.75,26161.75,26157,26157.5
1766363040,26158.25,26158.25,26154.25,26154.75
1766363100,26154.25,26157.5,26154,26154
1766363160,26154.25,26158.5,26153.25,26158
1766363220,26157.75,26160,26154.75,26156.5
1766363280,26155,26161.75,26153.25,26160.25
1766363340,26159.75,26163,26159,26160.25
1766363400,26159.25,26171,26159.25,26171
1766363460,26170.5,26172.25,26167,26167.5
1766363520,26168.5,26169.5,26163.25,26163.25
1766363580,26163,26168.25,26162.5,26168
1766363640,26168,26170.5,26166.25,26170.5
1766363700,26171,26173.5,26170.25,26173
1766363760,26172.5,26174,26164.25,26164.25
1766363820,26164.5,26166,26161.25,26164.25
1766363880,26164.25,26165.25,26162.25,26164
1766363940,26164.25,26164.75,26162.5,26164.5
1766364000,26164.75,26167.25,26164.5,26165.5
1766364060,26164.5,26165,26162.75,26163.5
1766364120,26163.75,26165.5,26160.25,26165.25
1766364180,26164.5,26167.5,26164.5,26166.25
1766364240,26166,26166.25,26163.75,26164.5
1766364300,26165,26165,26162.25,26163.75
1766364360,26163.25,26164.25,26159.75,26160.5
1766364420,26160.75,26162.25,26159,26160
1766364480,26160,26163.25,26159.75,26163.25
1766364540,26163.25,26165.75,26162.25,26165.75
1766364600,26165.75,26169.75,26165.75,26169
1766364660,26169.5,26169.75,26168,26168.75
1766364720,26168.75,26168.75,26162.5,26165
1766364780,26165.5,26166.25,26164.75,26165
1766364840,26164.75,26165,26162,26164
1766364900,26165.75,26167,26165.75,26167
1766364960,26166.75,26167.5,26164.25,26164.75
1766365020,26165,26165.5,26162.5,26162.75
1766365080,26163,26165,26161.25,26161.75
1766365140,26162.5,26164.25,26162.25,26163
1766365200,26163,26167.75,26162,26167.75
1766365260,26167.5,26181.25,26167.25,26176.25
