time,open,high,low,close
1777845600,28182.75,28218.75,28170,28192.5
1777845660,28192.25,28194.75,28174.5,28181.25
1777845720,28181.75,28186.25,28155.25,28159.5
1777845780,28159.25,28164,28149.25,28156.25
1777845840,28154.5,28172,28150.75,28172
1777845900,28170.75,28184.5,28154.25,28165.25
1777845960,28164,28173,28163.25,28173
1777846020,28171.75,28173.75,28163.75,28166.25
1777846080,28165.75,28172.25,28162.5,28164.5
1777846140,28164,28166,28160.25,28162.5
1777846200,28161.75,28164,28154.75,28157.75
1777846260,28158.5,28167.75,28158.25,28162.75
1777846320,28163.25,28170,28157,28159.25
1777846380,28158.75,28158.75,28149.5,28154.25
1777846440,28154.5,28160.25,28154.25,28158.75
1777846500,28158.75,28166.75,28158.75,28162
1777846560,28161.75,28164,28154.75,28154.75
1777846620,28156.25,28165,28155.5,28162.75
1777846680,28162.5,28167.75,28162.25,28164.25
1777846740,28164.25,28166,28158.75,28165.25
1777846800,28166.75,28172.5,28160.25,28160.75
1777846860,28161.25,28162.75,28150.75,28152.75
1777846920,28150.75,28150.75,28135.5,28137
1777846980,28136.5,28139,28130.25,28137.25
1777847040,28137.5,28141.75,28133.75,28139.5
1777847100,28138.5,28140,28134.75,28140
1777847160,28142,28144.5,28140.75,28141.75
1777847220,28143,28145.25,28138.75,28144.25
1777847280,28143.75,28145,28138.75,28140.5
1777847340,28140.5,28140.5,28134.25,28138.25
1777847400,28139.5,28140.25,28135,28136.75
1777847460,28137.5,28138,28133,28135
1777847520,28135.75,28138.5,28133.75,28137.5
1777847580,28137,28139.25,28136.25,28139
1777847640,28139.75,28149.75,28139.75,28145.75
1777847700,28146,28146,28138.5,28140.5
1777847760,28139.5,28144.75,28138.75,28138.75
1777847820,28141,28145.75,28138.5,28141.75
1777847880,28141.75,28145.75,28139.25,28144.75
1777847940,28143.75,28144.25,28140.5,28142.5
1777848000,28142.75,28147,28142,28144.5
1777848060,28144,28146.5,28143.5,28146
1777848120,28147,28150.25,28146.25,28149.75
1777848180,28150.25,28153.5,28148.75,28150.75
1777848240,28150.25,28150.25,28146.5,28147.25
1777848300,28147.5,28162.5,28147.25,28161.25
1777848360,28161,28168.75,28161,28163.75
1777848420,28163,28164,28152.25,28153.75
1777848480,28154.5,28157.5,28153,28153.75
1777848540,28154.25,28154.25,28137.75,28139.25
1777848600,28138.5,28147.5,28128.75,28144.75
1777848660,28145.75,28147.25,28137.5,28142.5
1777848720,28142.75,28145.5,28140.75,28144.25
1777848780,28142.25,28145.75,28140.25,28143.25
1777848840,28143.5,28147.5,28142.5,28146.75
1777848900,28147.5,28151.25,28143.25,28145
1777848960,28143.25,28148.75,28140.25,28144.75
1777849020,28143.25,28147.75,28143,28144.5
1777849080,28144.75,28148.25,28143.75,28146.5
1777849140,28146.25,28146.25,28141.5,28142.5
1777849200,28142.75,28142.75,28135,28139
1777849260,28136,28149.25,28135.75,28148
1777849320,28148,28150.25,28137.75,28138.25
1777849380,28140,28142.5,28135.5,28142.5
1777849440,28141,28145.25,28140.75,28141.25
1777849500,28142.5,28144.25,28140.25,28142
1777849560,28143.5,28144.75,28139.25,28139.25
1777849620,28139.25,28141,28136.25,28141
1777849680,28140.5,28140.5,28134.5,28137.75
1777849740,28137.25,28137.25,28133,28135.75
1777849800,28137.25,28138.25,28129.25,28129.25
1777849860,28131.75,28132.5,28120.25,28122
1777849920,28123,28123,28111.5,28119.25
1777849980,28119.5,28122.25,28117.75,28119.5
1777850040,28118.5,28121,28117.75,28121
1777850100,28121.25,28122.25,28108,28110
1777850160,28110,28115.75,28108.5,28114.25
1777850220,28113.5,28118,28112.75,28115
1777850280,28115.5,28119.5,28115.25,28118
1777850340,28118.75,28120.75,28116.5,28117
